종목코드,종목명,돌파확인일,진입가,오늘종가
271940,일진하이솔루스,2026-07-27,10660,10720
026960,동서,2026-07-27,26350,26600
002620,제일파마홀딩스,2026-07-27,6930,7200
214320,이노션,2026-07-27,19230,19270
460860,동국제강,2026-07-24,9300,9190
036460,한국가스공사,2026-07-24,34400,35100
460850,동국씨엠,2026-07-24,4940,5240
363280,티와이홀딩스,2026-07-23,1810,1811
006840,AK홀딩스,2026-07-23,6100,6500
014530,극동유화,2026-07-23,3240,3155
004090,한국석유,2026-07-23,11900,10910
104700,한국철강,2026-07-23,9300,9530
267250,HD현대,2026-07-23,221000,210500
417310,코람코더원리츠,2026-07-23,10340,10790
035720,카카오,2026-07-23,36650,37050
000210,DL,2026-07-23,47950,48450
004000,롯데정밀화학,2026-07-23,46750,46200
023590,다우기술,2026-07-23,38500,38150
377300,카카오페이,2026-07-23,43300,44750
047050,포스코인터내셔널,2026-07-23,54300,52700
086280,현대글로비스,2026-07-23,204000,204500
004920,씨아이테크,2026-07-23,959,999
