종목코드,종목명,진입가,오늘종가
AAL,American Airlines Group Inc,15.71,17.57
ABCL,Abcellera Biologics Inc,6.46,6.66
ABVC,ABVC Biopharma Inc,1.44,1.45
ADV,Advantage Solutions Inc,42.79,42.1
AGYS,Agilysys Inc,93.55,97.51
AKTS,Aktis Oncology Inc,23.53,31.15
ALGT,Allegiant Travel Co,95.92,110.05
ALMR,Alamar Biosciences Inc,22.51,26.87
AMAT,Applied Materials Inc,592.92,668.0
AMLX,Amylyx Pharmaceuticals Inc,15.25,17.44
APLM,Apollomics Inc,15.0,22.0
ASND,Ascendis Pharma A/S,247.51,261.58
AUBN,Auburn National Bancorporation Inc,25.96,26.53
BCAX,Bicara Therapeutics Inc,22.92,26.34
BCRX,BioCryst Pharmaceuticals Inc,9.6,9.9
BDSX,Biodesix Inc,16.5,20.04
BHRB,Burke & Herbert Financial Services Corp,67.08,69.68
BLRKU,Bluerock Acquisition Units,10.09,10.11
BLZE,Backblaze Inc,9.11,13.42
BMRC,Bank of Marin Bancorp,26.28,26.32
BNTC,Benitec Biopharma Inc,11.85,13.0
BSET,Bassett Furniture Industries Inc,15.73,16.78
BWB,Bridgewater Bancshares Inc,20.0,20.61
BWBBP,Bridgewater Bancshares DS 1 100th Int 5 875 Non Cumu Perpl Prf Shs Series A,20.25,20.3
CCII,Cohen Circle Acquisition Corp II,10.33,10.34
CCXI,Churchill Capital Corp XI,10.33,12.44
CCXIU,Churchill Capital XI Units,10.44,13.0
CFBK,CF Bankshares Inc,31.26,31.51
DFTX,Definium Therapeutics Inc,24.75,44.79
DLTR,Dollar Tree Inc,116.44,118.21
DMAA,Drugs Made In America Acquisition Corp,10.62,10.64
EML,Eastern Company,22.11,24.09
ENGS,Energys Group Ltd,1.99,2.61
FCUV,Focus Universal Inc,0.87,4.76
FERA,Fifth Era Acquisition Corp I,10.41,10.43
FLYW,Flywire Corp,16.61,16.88
FNWD,Finward Bancorp,34.15,34.29
FTAIM,FTAI Aviation Fixed Rate Reset Cum Perp Pfd Series D,27.35,27.55
GALT,Galectin Therapeutics Inc,2.79,4.23
GIWWU,Gigcapital8 Units,10.33,10.35
GTENU,Gores Holdings X Units,10.49,10.55
GTERU,Globa Terra Acquisition Units,10.44,10.44
HAPN,Happen Inc,19.03,19.67
HBNC,Horizon Bancorp Inc,19.75,19.78
HEPS,D Market Elektronik Hizmetler ve Ticaret AS ADR,2.85,2.9
HYPR,Hyperfine Inc,1.66,1.69
ICLR,ICON PLC,152.8,160.96
IEAG,Infinite Eagle Acquisition Corp,10.06,10.1
IGACR,Invest Green Acquisition Rights Exp 17 Nov 2030,0.19,0.19
IMPPP,Imperial Petroleum 8.75 Cumulative Redeemable Perpetual Pref Shs Series A,26.04,26.33
IQST,iQSTEL Inc,1.33,1.59
JAKK,JAKKS Pacific Inc,22.91,23.22
JANX,Janux Therapeutics Inc,14.74,14.58
KRNY,Kearny Financial Corp,8.79,9.12
KRT,Karat Packaging Inc,30.06,31.08
KYMR,Kymera Therapeutics Inc,89.9,116.46
LGND,Ligand Pharmaceuticals Inc,263.14,295.92
LIEN,Chicago Atlantic BDC Inc,10.0,10.4
LILA,Liberty Latin America Ltd Class A,5.57,7.0
LKSPU,Lake Superior Acquisition Units,10.28,10.35
LPBB,Launch Two Acquisition Corp,10.71,10.73
MAZE,Maze Therapeutics Inc,26.96,27.02
MIDD,Middleby Corp,165.02,171.77
MKSI,MKS Incorporated,375.32,410.31
MLKN,MillerKnoll Inc,16.48,19.31
MMYT,MakeMyTrip Ltd,47.33,52.13
MNDO,Mind CTI Ltd,1.0,1.01
MXCT,MaxCyte Inc,1.23,1.27
MYFW,First Western Financial Inc,30.53,31.39
NESR,National Energy Services Reunited Corp,26.69,26.98
NEWTO,Newtekone 8 50  Fixed Rate Senior Notes Due 2031,25.98,26.25
NPAC,New Providence Acquisition Corp III,10.37,10.38
NRIX,Nurix Therapeutics Inc,17.76,22.46
NTRA,Natera Inc,226.44,260.74
NVCT,Nuvectis Pharma Inc,12.59,27.87
ORMP,Oramed Pharmaceuticals Inc,4.73,5.0
OTGAU,OTG Acquisition I Units,10.34,10.35
PCB,PCB Bancorp,26.59,27.95
PESI,Perma-Fix Environmental Services Inc,11.0,12.24
PSMT,PriceSmart Inc,182.3,195.92
PTLE,PTL Ltd,5.98,7.37
RANG,Range Capital Acquisition Corp,10.62,10.67
RBKB,Rhinebeck Bancorp Inc,17.0,17.23
RDAGU,Republic Digital Acquisition Units,10.55,10.6
REYN,Reynolds Consumer Products Inc,23.62,26.31
RGEN,Repligen Corp,133.55,145.23
ROIV,Roivant Sciences Ltd,32.41,34.02
RVMD,Revolution Medicines Inc,163.68,178.17
SAGT,Sagtec Global Ltd,1.22,1.44
SBFG,SB Financial Group Inc,23.31,23.43
SFBC,Sound Financial Bancorp Inc,43.63,44.08
SGHT,Sight Sciences Inc,5.2,5.46
SKWD,Skyward Specialty Insurance Group Inc,50.8,55.4
SLN,Silence Therapeutics PLC ADR,7.13,10.0
SLS,Sellas Life Sciences Group Inc,9.31,10.53
SNTI,Senti Biosciences Holdings Inc,1.04,1.07
SPEG,Silver Pegasus Acquisition Corp,10.28,10.28
SSM,Sono Group NV,4.27,4.27
SSTI,SoundThinking Inc,8.03,8.39
STRT,Strattec Security Corp,79.96,80.78
TRVI,Trevi Therapeutics Inc,16.37,18.0
UNB,Union Bankshares Inc,23.96,26.2
VERA,Vera Therapeutics  Inc,39.56,40.5
VKTX,Viking Therapeutics Inc,32.74,36.99
VMD,Viemed Healthcare Inc,10.53,11.69
VRNS,Varonis Systems Inc,36.11,38.56
